tagname,body
"string-matching","String matching is the problem of finding occurrences of one string (“pattern”, “needle”) in another (“text”, “haystack”)."
"openfire","Openfire is a XMPP (Jabber) server written in Java. It has facility for developers to create plugins that can extend the server's functionality. "
"gsm","GSM is an abbreviation for ""Global System for Mobile Communication"""
"endianness","Endianness (sometimes referred to as ""byte order"") refers to how multi-byte values are stored in memory, sent between devices or stored on disk.  ""Big-Endian"" values are stored with their most-significant byte first, and ""Little-Endian"" values are stored with their least-significant byte first."
"jplayer","jPlayer is the completely free and open source (GPL/MIT) media library written in JavaScript."
"jobs","A job is a process executing in the background, or scheduled for later execution.  

**DO NOT** use this tag for career, employment, or hiring practice questions, as these are off-topic!"
"rollback","A rollback is reverting data to a previous state.  Typically questions in this tag involve transactions in Relational Database Management Systems, where a ROLLBACK command is used to discard any changes to the data since a transaction started."
"min","Minimum value. Smallest, tiniest, least."
"minecraft","A voxel-based sandbox game coded in Java by Mojang where players place and destroy blocks to gain armor, weapons and tools in a randomly generated world."
"tridion-2011","SDL Tridion 2011 is the name of the SDL Tridion Content Management System released in 2010. SDL Tridion supports both Java and .NET architectures."
"messages",""
"saxparser","SAX (Simple API for XML) is an event-based parser for XML documents."
"bookmarks","Bookmarks are a browser storage facility for URLs"
"midp","Mobile Information Device Profile is a set of Java ME specifications. Known versions are 1.0 (JSR 37), 2.0 and 2.1 (JSR 118) and 3.0 (JSR 271)"
"fbml","Facebook Markup Language (FBML) enabled one to build Facebook applications that deeply integrate into a user's Facebook experience. Deprecated as of June 6, 2012. Not to be confused with xfbml. "
"sql-insert","The SQL INSERT statement allows you to insert a single record or multiple records into a table."
"linked",""
"android-dialog","Android API : Base class for Dialogs"
"setup-deployment",""
"code-formatting","Code formatting is the way to format the source code of programs,using spaces and tabs, improving legibility of source code."
"glib","GLib is a general-purpose and cross-platform utility library, which provides many useful data types, macros, type conversions, string utilities, file utilities, a main loop abstraction, and so on."
"simple-html-dom","Simple HTML DOM is an open source HTML DOM parser written for PHP5+ which lets users easily manipulate HTML."
"genetic-algorithm","A genetic algorithm (GA) is a search heuristic that mimics the process of natural evolution."
"live-wallpaper","Live wallpaper is an Android 2.1+ feature that adds the potential for animation and interactivity."
"truncate","Data truncation occurs when data or a data stream (such as a file) is stored in a location too short to hold its entire length. Data truncation may occur automatically, such as when a long string is written to a smaller buffer, or deliberately, when only a portion of the data is wanted."
"msdn","Microsoft Developer Network  http://msdn.microsoft.com/"
"macvim","MacVim is a version of the Vim text editor for Mac OS X."
"mmap","mmap is a POSIX-compliant Unix system call that maps files or devices into memory."
"propertygrid",".NET control for providing a UI that allows the properties of one or more objects to be viewed and edited."
"npapi","The Netscape Plugin Application Programming Interface (NPAPI) is a cross-platform plugin architecture used by many browsers, with the notable exception of Internet Explorer."
"exclude","Exclude is a generic term for the process of identifying a subset of code or data which should not be used in a particular context."
"struts-1","The Apache Struts web framework is a free open-source solution for creating Java web applications. The Struts framework is designed to help developers create web applications that utilize a MVC architecture. "
"xmlreader","xmlreader - Represents a reader that provides fast, noncached, forward-only access to XML data."
"jdeveloper","Oracle JDeveloper is an integrated development environment that simplifies the development of Java-based SOA applications and user interfaces, supporting the full software development life cycle."
"cakephp-2.3","CakePHP is a rapid development framework for PHP that provides an extensible architecture for developing, maintaining, and deploying applications. It uses commonly known design patterns like MVC and ORM within the convention over configuration paradigm.

Use this tag for questions about CakePHP version 2.3.*"
"extern","extern is an access-specifier in C which defines a global variable that is visible to all object modules."
"relative",""
"amazon-cloudfront","Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments."
"moodle","Moodle is an open source learning management system (LMS) written in PHP."
"spring-3","Version 3.x of the Spring Framework"
"mdi","MDI (Multiple Document Interface) is a type of GUI , which presents a single parent (container) window for other windows in a specific application"
"branching-and-merging","In version control, branches represent parallel lines of development. Merging is the action that integrates changes made in different branches."
"ebay","eBay.com is an online auction and shopping website"
"jslint","JSLint is a ""code quality"" tool for Javascript developed by Douglas Crockford, a well-known developer also responsible for JSON, JSMin, ADSafe and parts of YUI. JSLint is parallel to C's lint."
"attr","This tag should be used for attribute related issues."
"find-and-replace","For issues relating to search/find and replace operations."
"spring.net","Spring.NET is an open source application framework for developing .NET enterprise applications."
"casperjs","CasperJS is a javascript based navigation scripting & testing utility for PhantomJS."
"permalinks","A permalink, or permanent link, is a URL that points to a specific blog or forum entry after it has passed from the front page to the archives."
"unit-of-work","One of the common design patterns in enterprise software development which allows one to maintain a list of objects affected by a business transaction and coordinates the writing out of changes and the resolution of concurrency problems. "
"boost-python","Library for intuitive and tight integration between c++ and python."
"atom","Atom is an XML based news-feed format"
"mathematical-optimization","Mathematical optimization deals with maximizing or minimizing an objective function by choosing values from within an allowed feasible set of possible values. Mathematical optimization is often also referred to as mathematical programming or simply as optimization."
"robots.txt","Robots.txt is text file used by Website owners to give instructions about their site to web robots. Basically it tells robots which parts of the site are open and which parts are closed. This is called The Robots Exclusion Protocol."
"getter","A getter is public mutator method, used in object-oriented programming, which returns the value associated with a private member of a class."
"infowindow","The InfoWindow is a standard class within the Google Maps JavaScript API; it is an overlay that displays content in a floating window above the map and is anchored at a specified location on the map."
"fluid-layout","A Fluid Layout, sometimes also referred to as a liquid layout, is a CSS technique in which the majority of the page components have percentage widths, and thus adjust to the user's screen resolution."
"outputstream","An abstract mechanism for writing data to a stream in Java and C#"
"manipulation",""
"master-detail","A master–detail interface displays a master list and the details for the currently selected item."
"projection","Projection is the transformation of a set of data from one form into another."
"autowired","Autowiring is a DI container feature where the dependencies are automatically looked for according to some criteria."
"enterprise",""
"ternary-operator","A ternary operator is any operator that takes three arguments. For the ternary conditional operator `?`...`:`, use [tag:conditional-operator]."
"filenotfoundexception","An exception that indicates that the file denoted by a specified pathname could not be found."
"webfonts","a technology that enables people to use fonts on demand over the Web without requiring installation in the operating system."
"subsonic3","SubSonic is A Super High-fidelity Batman Utility Belt that works up your Data Access (using Linq in 3.0), throws in some much-needed utility functions, and generally speeds along your dev cycle."
"puzzle","DO NOT USE - prefer constructive questions, or use tags that describe your question."
"datetime-format","datetime-format is a transformation of a timestamp from an industry standard format, such as UTC or ISO, to a format which conforms to the standards of a particular locale or audience"
"strtotime","PHP function for parsing about any English textual datetime description into a Unix timestamp"
"privileges","This tag is for questions relating to the general topic of privileges, without reference to any specific operating system or application.
"
"submenu","A submenu is a menu, that is a list of options or commands, which is contained within another menu."
"abap","ABAP is the programming language of the SAP R/3 system."
"google-search","is for programming questions about the Google search engine."
"search-and-replace","'Search and Replace' is a feature of many text editors that allows users to systematically replace any occurrence of a given pattern of characters in a file with another."
"crash-reports","Crash reports covers anything related to obtaining any data related to an application failure."
"uwsgi","uWSGI is a fast, self-healing and developer/sysadmin-friendly application container server coded in pure C."
"boost-spirit","Boost.Spirit is a set of C++ libraries for parsing and output generation implemented as Domain Specific Embedded Languages (DSEL) using Expression templates and Template Meta-Programming. The Spirit libraries enable a target grammar to be written exclusively in C++. Inline grammar specifications can mix freely with other C++ code and, thanks to the generative power of C++ templates, are immediately executable. "
"cout","std::cout is the global stream object provided by the C++ standard library for writing to the standard output stream."
"android-sensors","Android-sensors tag unites questions that are connected with different hardware sensors that are embedded into Android devices (barometer, accelerometer, magnetometer, microphone, camera and so on) "
"jfilechooser","JFileChooser is a Java Swing component to provide a simple mechanism for the user to choose a file."
"jquery-cycle","The jQuery Cycle Plugin is a slideshow plugin that supports many different types of transition effects. It is the predecessor of jQuery Cycle2 plugin, which is recommended for new projects."
"criteria-api","This tag is for questions related to the Java Persistence Criteria API (from JPA 2.0) which is used to define queries through the construction of object-based query definition objects, rather than use of the string-based approach of the Java Persistence query language.

For questions related to (N)Hibernate Criteria, use the [criteria] tag.

"
"linq-to-nhibernate","A provider for NHibernate library for .NET Framework which allows to use LINQ queries. Available since version 3.0."
"core-bluetooth","CoreBluetooth is a framework for iOS and Mac OS X to interact with Bluetooth Low Energy (""BLE"") accessories."
"getter-setter","Public mutator methods in object-oriented programming, responsible for changing and returning the value of private class members, thus keeping with the principle of encapsulation."
"drupal-theming","A theme is a ""skin"" that lets you change the layout and appearance of a Drupal site quickly and without programming."
"cdata","The term CDATA is used about text data that should not be parsed by the XML parser."
"timing","timing is a numerical measurement of the how long it takes to execute an instruction or series of instructions"
"email-integration","Questions related to integrating e-mail functionality in an existing application"
"mfmailcomposeviewcontroll","The MFMailComposeViewController class provides a standard interface that manages the editing and sending of an email in iOS."
"ruby-on-rails-2","Legacy version of the Ruby on Rails web development framework."
"quartz-2d","Quartz 2D is the primary two-dimensional graphics rendering API for Mac OS X, part of the Core Graphics framework."
"rad","Rational Application Developer is a tool for developing Java enterprise applications for Websphere Application Server. It is based on Eclipse, but is a proprietary IBM solution."
"websphere-7","Version 7.x of IBM WebSphere Application Server (WAS)"
"keydown","""keydown"" is an event used in writing software that is triggered when a key on the keyboard is being pressed. It usually precedes the event ""keyup""."
"frames","HTML frames are a way of displaying multiple HTML documents in a single browser window."
"managed","Managed refers to code that requires and will only execute under the control of a Common Language Runtime (CLR). Any code written in C# or Visual Basic .NET is managed code."
"delphi-2007","Delphi 2007 is a specific version of Delphi. Delphi 2007 was released in March 2007, and was available as a standalone product or as part of RAD Studio 2007."
"cloudera","Cloudera Inc. is a Palo Alto-based enterprise software company which provides Apache Hadoop-based software and services."
"virtuemart","Open source ecommerce extension designed to work with Joomla! CMS"
"spring-data-jpa","Spring Data - JPA is part of the Spring Data umbrella project which makes it easy to implement JPA based repositories"
"listadapter","ListAdapter is an Extended Adapter that is the bridge between a ListView or GridView and the data that backs the it. Frequently that data comes from a Cursor, but it could also come from an Array, or List of arbitrary Objects. ListView and GridView can display any data provided that it is wrapped in a ListAdapter."
"elementtree","ElementTree is a Python library for creating and parsing XML."
"backwards-compatibility","Backward compatibility refers to a software or hardware system that can successfully use interfaces and data from earlier versions of the system."
"exchangewebservices","Exchange Web Services (EWS) is an extensibility point for clients that connect to the Exchange server and consume information about user availability, and the manipulation of items that are located in the Exchange data store. "
"httpwebresponse","Provides an HTTP-specific implementation of the WebResponse class"
"xstream","XStream is a simple library to serialize objects to XML and back again."
"custom-action","A custom action is usually referred to Windows Installer and hence WiX custom actions, which as you can guess from their name provide way to implement any non-standard activity in installer."
"uicollectionviewcell","UICollectionViewCell is a class from UIKit framework in iOS. A UICollectionViewCell object presents the content for a single data item when that item is within the collection view’s visible bounds."
"outlook-2010","Microsoft Outlook 2010 is the release of Microsoft's popular Outlook platform that debuted in July 2010. New features in this edition include ribbon interfaces in all views, a programmatically accessible Navigation Pane, and improved social networking features."
"datacontractserializer",".NET Framework class, Serializing and deserializing an instance of a type into an XML stream or document using a supplied data contract."
"webgrid","WebGrid is a view control built in to the ASP.NET Web Pages Framework.  It displays a sortable, pageable HTML grid given a collection, and is customizable in various ways, making use of .NET 4.0's ""dynamic"" object type. "
"bandwidth","Amount of data that can be transferred in a given unit of time."
"bigdecimal","BigDecimal is a numeric object type in Java that represents decimal numbers with arbitrary precision."
"mergesort","Merge sort is an O(n log n) comparison-based sorting algorithm."
"eclipse-juno","Juno is the code name for Eclipse version 3.8 and 4.2 that was released on June 27, 2012."
"lan","LAN, or Local Area Network, is a computer network that connects computers and devices in a limited geographical area such as home, school, computer laboratory or office building. The defining characteristics of LANs, in contrast to wide area networks (WANs), include their usually higher data-transfer rates, smaller geographic area, and lack of a need for leased telecommunication lines.
"
"argparse","A Python module for implementing command-line interfaces"
"ncurses","The ncurses package is a subroutine library for terminal-independent screen-painting and input-event handling."
"filesystemwatcher","C# class that listens to the file system change notifications and raises events when a directory, or file in a directory, changes."
"fpga","A Field-programmable Gate Array (FPGA) is an chip that is configured by the customer after manufacturing—hence ""field-programmable""."
"wordpress-loop","The Loop is PHP code used by WordPress to display posts."
"predicate","A Predicate is a method which represents a set of criteria and decides for a given object if these criteria are fulfilled or not. In computer languages a Predicate is expressed as a function which takes a single object as input parameter and returns a boolean value."
"trac","Trac is an enhanced wiki and issue tracking system for software development projects. Trac uses a minimalistic approach to web-based software project management."
"javascript-objects","Use this tag for questions related to JavaScript objects."
"directory-structure","Questions that relate to the organization of files and directories in a filesystem."
"microphone","A microphone is an acoustic-to-electric transducer or sensor that converts sound into an electrical signal."
"ini","The INI file format includes text-based initialization information for programs."
"http-get","HTTP GET is a request method which should be used to retrieve data and should not change state of the server."
"interactive","Interactive software accepts and responds to input from humans, in contrast to noninteractive software, which operate without human contact."
"pid","In computing, the process identifier (normally referred to as the process ID or just PID) is a number used by most operating system kernels (such as that of UNIX, Mac OS X or Microsoft Windows) to (temporarily) uniquely identify a process. This number may be used as a parameter in various function calls allowing processes to be manipulated, such as adjusting the process's priority or killing it altogether."
"ms-dos","Microsoft Disk Operating System.  A console-based operating system for personal computers."
"google-chrome-app","Google Chrome packaged apps deliver an experience as capable as a native app, but as safe as a web page. Just like web apps, packaged apps are written in HTML5, JavaScript, and CSS. But packaged apps look and behave like native apps, and they have native-like capabilities that are much more powerful than those available to web apps."
"unobtrusive-validation","Unobtrusive Validation refers to a jQuery plugin created by Microsoft used in conjunction with the jQuery Validate plugin. It is shipped with ASP.NET MVC 3."
"custom-fields",""
"facebook-social-plugins","dedicated to implementation of Facebook social plugins like fb:like in both XFBML and iframe."
"mesh","A polygon mesh or unstructured grid is a collection of vertices, edges and faces that defines the shape of a polyhedral object in 3D computer graphics and solid modeling."
"duplicate-removal","Use this tag for questions about removing duplicate data."
"uisearchdisplaycontroller","UISearchDisplayController is part of Apple's UIKit framework.  It greatly simplifies adding UISearchBars to UITableViews."
"rmagick","RMagick is an interface between the Ruby programming language and the ImageMagick® and GraphicsMagick image processing libraries."
"skype","Skype is a software application that allows users to make voice and video calls over the Internet."
"overlap","Placed two or more elements on each other"
"run",""
"coronasdk","Corona SDK is a mobile development framework for creating high-performance, multimedia rich applications and games for the iPhone, iPad, and Android."
"facebook-oauth","From Facebook Developer Page "
"iphone-5","The iPhone 5 is the sixth version of the iPhone released by Apple, Inc. Use this tag for questions specific to this platform."
"libsvm","LIBSVM is a library for Support Vector Machines"
"conventions","A generic tag covering any accepted method of doing things, which could include naming, spacing, coding, commenting, etc."
"yql","The Yahoo! Query Language is an expressive SQL-like language that lets you query, filter, and join data across Web services."
"correlation","For questions regarding interdependence of variable quantities."
"modernizr","Modernizr is an open-source JavaScript library that helps you build the next generation of HTML5 and CSS3-powered websites."
"heatmap","A heat map is a graphical representation of data where the individual values contained in a matrix are represented as colors."
"taglib","TagLibs is a shortened form of ""Tag Libraries"". Tag Libraries are libraries that include ""tags"". Tags are usually used to address presentation concerns and encapsulate view-specific logic. "
"viewflipper","ViewFlipper is a FrameLayout Container that will animate between two or more views that have been added to it"
"scons","SCons is a cross platform, open source build tool and an alternative to the classic ""Make"". You write a declarative description of your build using the Python programming language.
"
"uiactivityindicatorview","On iOS, you can use an activity indicator to show that a task is in progress. An activity indicator appears as a “gear” that is either spinning or stopped.

You control when an activity indicator animates by calling the startAnimating and stopAnimating methods. To automatically hide the activity indicator when animation stops, set the hidesWhenStopped property to YES."
"concat","Refers to the joining of two or more tokens into a single token. In programming, this generally refers to string concatenation, which joins multiple strings into a single string. In Java it joins 2 or more arrays into one."
"flags","Flags are atomic data structures used to identify state in a program."
"fill",""
"matrix-multiplication","Questions related to matrix multiplication, especially implementation. Mathematical questions should consider the linear algebra tag."
"blobstore","A storage API used for binary data storage, eg. Google App Engine blobstore service. "
"expand",""
"grid-layout","Grid layout is used to align content into columns and fields. Unlike table layouts, grids are composed of guide lines so that elements positioned relative to the grid can have drag and drop behavior."
"chmod","chmod is a linux/unix command. It stands for ""change mode"". This command is used change the permissions of directories and files. "
"workspace","An area of memory (RAM or disk based) for which to perform operations."
"android-maps-v2","The new Google Maps Android API v2 allows you to offer interactive, feature-rich maps to users of your Android application. "
"sample","Small part of or a selection from something (code , logs , data and etc.), intended to show the structure, style, or nature of the whole."
"rails-routing","The component of the Ruby on Rails framework responsible for mapping between HTTP requests and application resources (including static files and controller actions)."
"nsattributedstring","NSAttributedString objects manage character strings and associated sets of attributes (for example, font and kerning) that apply to individual characters or ranges of characters in the string. An association of characters and their attributes is called an attributed string. "
"shutdown","This refers to the process where the system state is systematically (and preferably gracefully) changed to the fully inactive state. Usually applied to complex systems, such as database, server program, operating system, virtual machine, physical computer and the like. Bypassing the shutdown procedure (immediate termination) may cause data loss or other problems."
"launch",""
"runtime.exec","The Runtime.exec() method allows Java apps. to create a new OS Process."
"put","PUT is a HTTP method which requests that the enclosed entity be stored under the supplied URL."
"jcarousel","jCarousel is an open source jQuery plugin that implements the common image/text ""carousel"" feature of scrollable blocks of content."
"ddl","Data Definition Language is a subset of SQL that is focused on the definitions of the tables in the database, not the content of those tables. It is often restricted to database users with administrative privileges."
"acrobat","Adobe Acrobat is a family of applications developed by Adobe in order to view, create, manipulate, print and manage files in Portable Document Format (PDF)."
"performancecounter","PerformanceCounter is a .NET class in the System.Diagnostics namespace that represents a Windows NT performance counter component."
"streamwriter","StreamWriter is designed for character output in a particular encoding, whereas classes derived from Stream are designed for byte input and output."
"quartz.net","Quartz.NET is an open source job scheduling library for .NET. A job scheduler is a system that is responsible for executing (or notifying) other software components when a predetermined (scheduled) time arrives."
"jtextpane","A Java Swing text component that can be marked up with attributes that are represented graphically."
"nstextfield","NSTextField object belongs to Apple's class. It's a kind of NSControl that displays text that the user can edit or select."
"hotkeys","Hotkeys provide quick access to user interface application or system actions via combinatorial key presses."
"sharding","Sharding is a technique of partitioning database tables by row (""horizontally""); typically this technique requires a key to be selected that determines how the rows are to be partitioned."
"nsoperationqueue","On Mac OS X, the NSOperationQueue class regulates the execution of a set of NSOperation objects."
"advertising","Advertising is a form of communication for marketing and used to encourage or persuade an audience (viewers, readers or listeners; sometimes a specific group) to continue or take some new action."
"android-pendingintent","An Android class that provides a description of an Intent and target action to perform with it"
"system.drawing","System.Drawing is a namespace of the .NET framework. It provides access to GDI+ basic graphics functionality."
"owl","The Web Ontology Language (OWL) is a vocabulary for creating schemas (ontologies), i.e. definitions of classes, properties and the relationships between them."
"salt","Cryptography function that takes random bits and a string (typically a password) and uses a one-way hash to provide a new string that can be used for authentication without providing access to the original string. If a salt function uses enough random bits, the resulting string is generally considered cryptographically secure."
"masm","MASM is Microsoft's Macro Assembler tool for converting assembly language to object code.  It processes x86 instructions and pseudo instructions written in ""Intel syntax"".  MASM is the standard low-level language for all MSDOS and Windows environments and is currently being supported in the 32-bit and 64-bit versions."
"http-status-codes","HTTP status codes are a set of standardized codes returned in an HTTP web response."
"uipageviewcontroller","UIPageViewController iOS UIViewController container class that manages the display of, and animated transitions among, one or more content view controllers."
"video.js","Video.js is an open source JavaScript framework for embedding and working with HTML5 and Flash video. It uses the HTML5 video tag as an embed code, and has a common HTML/CSS skin and API for both HTML5 and Flash."
"galaxy","Line of mobile devices by Samsung running on Google's Android platform"
"code-first-migrations","Code First Migrations is a feature of Entity Framework to detect, script and execute schema updates of databases created with the Code-First approach."
"database-replication","Database replication is used to ensure consistency between redundant databases and to improve reliability and increase fault-tolerance.  The replication process commonly involves continuously duplicating a ""master"" database to one or more additional ""slave"" databases."
"javasound","For the capture, processing, and playback of sampled audio data &
sequencing and synthesis of MIDI data."
"glob","glob patterns, aka shell patterns, are a pattern matching language used in many popular shells to match filenames: `*.c` is a glob for C source files."
"swfobject","SWFObject is an easy-to-use and standards-friendly method to embed Flash content, which utilizes one small JavaScript file."
"gdata-api","The GData API is a Rest style web protocol to pragmatically interact with google applications and a services, like Google Docs, Contacts and Calendar etc."
"android-drawable","In Android, a Drawable is a general abstraction for ""something that can be drawn."""
"datacontract","A data contract is a formal agreement between a service and a client that abstractly describes the data to be exchanged.  A data contract precisely defines, for each parameter or return type, what data is serialized to be exchanged.  "
"blackberry-webworks","WebWorks is an HTML5 based platform created by Research In Motion for building applications for BlackBerry SmartPhones and Tablets. This platform enables developers to build standalone applications that run on phones and tablets using web technologies like HTML5, CSS3 & JavaScript. Documentation: https://bdsc.webapps.blackberry.com/html5/"
"nsfetchrequest","on Mac OS X, an instance of NSFetchRequest describes search criteria used to retrieve data from a persistent store"
"baseadapter","BaseAdapter is an abstract Android adapter class which is used to implement specialized adapters."
"naudio","NAudio is an open source audio library for .NET, supporting audio playback, recording and sample manipulation as well as reading and writing various audio file formats."
"subclipse","An Eclipse plugin providing Subversion (SVN) integration"
"pipeline","A pipeline is a sequence of functions (or the equivalent thereof), composed so that the output of one is good input for the next, in order to create compound transformation. Famously, in shell syntax expressed as `command | command2 | command3`."
"shuffle","Shuffling is the act of randomizing the order of the elements in a collection."
"openshift","Questions relating to Red Hat's OpenShift PaaS"
"drop","In computer graphical user interfaces, drag-and-drop is the action of (or support for the action of) selecting a virtual object by ""grabbing"" it and dragging it to a different location or onto another virtual object. "
"cultureinfo","Represents information about a specific culture including the names of the culture, the writing system, and the calendar used, as well as access to culture-specific objects that provide information for common operations, such as formatting dates and sorting strings.

"
"result",""
"android-lifecycle","Questions regarding the events forwarded by the system to components, during their lifetime, in an Android Application. Most components have a specific LifeCycle that is imposed upon them. This tag is not meant to be used alone: use with [tag:android-activity], [tag:android-service], [tag:android-broadcastreceiver]"
"shapes","Questions related to drawing or defining shapes."
"cin","std::cin is the global stream object provided by the C++ standard library for reading from the standard input stream."
"case-sensitive","An operation is case sensitive when uppercase and lowercase characters are treated differently."
"vector-graphics","Vector graphics is the use of geometrical primitives such as points, lines, curves, and shapes or polygon(s), which are all based on mathematical equations, to represent images in computer graphics. Images are drawn at run-time from the information stored, and so vector images do not get distorted after zoom/resize etc."
"quicktime","QuickTime is an extensible proprietary multimedia framework developed by Apple Inc. A framework called qtkit can be used to develop the multimedia on top of quicktime."
"css-border-radius","border-radius is a CSS3 property used for giving certain HTML elements rounded corners."
"literals","literal is a notation for representing a fixed value in source code (Wikipedia)"
"http-live-streaming","HTTP Live Streaming is a method of media streaming that consists of downloading segments of a mpeg2ts file, containing video (H.264) and/or audio (AAC or MP3). The specification was introduced by Apple and is widely used in iOS."
"android-support-library","The Android Support Library contains backported APIs from newer platforms and APIs that offer utility functionality."
"microsoft-sync-framework","The Microsoft Sync Framework enables data synchronization in .NET applications in a hub-and-spoke or peer-to-peer relation. It uses metadata to synchronize datasets from different sources and formats to subscribers."
"tagging","Tagging is the act of adding tags (non-hierarchical keywords or terms assigned to a piece of information such as an Internet bookmark, digital image, or computer file)."
"ethernet","Ethernet is a set of networking technologies widely used to interconnect computers."
"ejabberd","ejabberd is a Jabber/XMPP instant messaging server, licensed under GPLv2 (Free and Open Source), written in Erlang/OTP. Among other features, ejabberd is cross-platform, fault-tolerant, clusterable and modular."
"jdialog","The main Java Swing class for creating a dialog window."
"typeclass","Type classes in Haskell are a language mechanism to support ad hoc polymorphism. They also exist in Scala and Coq."
"modalpopupextender","The ModalPopupExtender is part of the AJAX Control Toolkit for ASP.net"
"manager",""
"explorer","Windows Explorer is the file manager and navigation tool that exists in Microsoft Windows operating systems"
"extjs-mvc","Attempt to implement MVC-like pattern in ExtJS framework, using the terms from the pattern and some of the concepts."
"django-authentication","django-authentication refers to the built-in auth module for authentication & authorization that can be extended."
"avr","AVR refers to two families of either 8- or 32-bit RISC microcontrollers"
"eof","End of file (commonly abbreviated EOF) is a condition in a computer operating system where no more data can be read from a data source."
"future","A placeholder for the result of a calculation before the calculation has completed. Used in concurrent programming.

Questions about future events are off-topic on Stack Overflow."
"zope","Zope is an open source application server written in the Python programming language. It features a transactional object database (ZODB) which can store not only content and custom data, but also dynamic HTML templates, scripts, a search engine, and relational database (RDBMS) connections and code. It features a strong through-the-web development model, allowing you to update your web site from anywhere made possible by a tightly integrated security model."
"editing","Editing is a generic term for updating a file, document, or page."
"cabal","Cabal is a package distribution and build system for the Haskell programming language."
"saving","Saving is the operation where a resource (document, game state, etc.) is persisted (written to the disk, sent to the cloud, etc.) for later use."
"getline","getline() is a C/C++ function that reads an entire line from stream."
"qunit","QUnit is a powerful, easy-to-use, JavaScript test suite. It's used by the jQuery project to test its code and plugins but is capable of testing any generic JavaScript code (and even capable of testing JavaScript code on the server-side)."
"undefined-behavior","Some language standards specify that the behavior of certain expressions is ""undefined"", meaning that the language rules do not specify what will occur when the expression is evaluated.  Please refrain from asking ""why"" undefined behavior has a certain result, as it is impossible to provide a meaningful answer to such questions."
"fluent","Fluent interface is API which allows method chaining  to make code more readable."
"google-translate","Google Translate is a paid statistical machine translation service provided by Google Inc. to translate a section of text, document or webpage, into another language."
"superclass","A superclass is a parent or base class that is derived or inherited from by a child class (or subclass). Superclasses are used extensively in object-oriented programming (OOP)."
"will-paginate","Ruby pagination library"
"next","Coming immediately after in a sequence; subsequent. Often refers to iterators, that provide next() and hasNext() methods."
"django-celery","Django-celery provides Celery integration for Django.

"
"flowplayer","A lightweight embeddable web media player for streaming content."
"importerror","Refers to errors that result from attempting to import a module or library into one's code"
"formtastic","Formtastic is a Rails form builder plugin with semantically rich and accessible markup."
"web.py","web.py is a minimalist web framework for Python."
"unmarshalling","Unmarshalling is the process of transforming the storage or transmission representation of an object back into its original memory representation. It is the inverse of marshalling."
"multidimensional",""
"nuget-package","NuGet is a Visual Studio extension that makes it easy to install and update open source libraries and tools in Visual Studio."
"executorservice","ExecutorService is a Java object containing the managed pool of threads and capable of scheduling the submitted tasks for these threads. The scheduling strategies vary in multiple available implementations."
"dashboard","A dashboard is a user interface that organizes and presents information in a way that is easy to read to the user of a website. A dashboard typically indicates items which require urgent actions at the top of the page, moving into less important statistics at the bottom."
"jquery-templates","jQuery templates is a plugin written by the Microsoft ASP.NET team in collaboration with the open-source jQuery team to enrich the UI from a data context."
"functor","The term 'functor' has two common meanings:  

1. A functor is an object (in C++, in particular) that can be invoked or called as though it were a function. Functors can contain their own data values, thus allowing the programmer to emulate closures.  

2. A mathematical structure which deals with mappings between categories.  This concept is a useful abstraction in some programming languages, notably Haskell, where it is implemented as a type class."
"selecteditem","selecteditem is a property used to identify the currently selected item in a collection"
"blackberry-eclipse-plugin","BlackBerry Java Plug-in for Eclipse"
"python-2.x","For issues relating to development in Python, version 2.x."
"ipod","iPod is a media players product designed and marketed by Apple. Currently the hard drive-based iPod Classic, the touchscreen iPod Touch, the compact iPod Nano, the ultra-compact iPod Shuffle, new ipod touch and new ipod nano are available. iPod can be used for playing music/games. They can be used to store files and transfer files too.The new ipod released September 12, 2012.Discontinued models of ipod are the iPod mini and the iPod photo."
"distutils","Distutils is the standard packaging system for Python modules and applications."
"scaffolding","Scaffolding is a meta-programming method of building database-backend software applications."
"introspection","A capability of some object-oriented programming languages to determine the type of an object at runtime."
"httpd.conf","The main configuration file of Apache HTTP Server is usually called httpd.conf"
"abaddressbook","The ABAddressBook opaque type provides a programming interface to the Address Book — a centralized database used by multiple applications to store personal information about people. Available on iOS 2.0 or above , and Mac OS X
"
"autoconf","GNU autoconf creates a shell script `configure` that is used to configure software for compilation for UNIX-like operating systems."
"scrollto","jQuery.ScrollTo is a plugin for scrolling elements by Ariel Flesler. "
"solrj","Solrj is a java client to access solr. It offers a java interface to add, update, and query the solr index. SolrJ hides a lot of the details of connecting to Solr and allows your application to interact with Solr with simple high-level methods."
"pic","PIC is a family of Harvard architecture microcontrollers made by Microchip Technology."
"mex","MEX-files (MEX stands for Matlab EXecutable) are dynamically linked subroutines produced from C, C++ or Fortran source code that, when compiled, can be run from within MATLAB® in the same way as MATLAB functions or built-in functions."
"python-idle","`IDLE` is the native Python IDE shipped as part of the Python distribution."
"directx-11","DirectX 11 is the 11th version of Microsoft's DirectX API, which is used to develop and handle tasks related to Multimedia, such as game programming, 3d visualizations and video on Microsoft platforms. DirectX 11 runs on Windows Vista, Windows 7 and Windows 8."
